Server started at Thu May 30 2019 15:13:05 GMT-0600 (Mountain Daylight Time)
Server started at : Thu May 30 2019 15:16:16 GMT-0600 (Mountain Daylight Time)
Server started at : Thu May 30 2019 15:21:16 GMT-0600 (Mountain Daylight Time)
Server started at : Thu May 30 2019 15:23:39 GMT-0600 (Mountain Daylight Time)
Server started at : Thu May 30 2019 15:24:14 GMT-0600 (Mountain Daylight Time)
Server started at : Thu May 30 2019 15:26:53 GMT-0600 (Mountain Daylight Time)
Server started at : Thu May 30 2019 15:56:08 GMT-0600 (Mountain Daylight Time)
Server started at : Thu May 30 2019 15:58:11 GMT-0600 (Mountain Daylight Time)
Server started at : Thu May 30 2019 15:59:49 GMT-0600 (Mountain Daylight Time)
Server started at : Thu May 30 2019 16:01:26 GMT-0600 (Mountain Daylight Time)
Server started at : Thu May 30 2019 16:04:24 GMT-0600 (Mountain Daylight Time)
Server started at : Thu May 30 2019 16:06:34 GMT-0600 (Mountain Daylight Time)
Server started at : Fri May 31 2019 13:04:39 GMT-0600 (Mountain Daylight Time)
Server started at : Fri May 31 2019 13:05:36 GMT-0600 (Mountain Daylight Time)
